Área Total,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta
121.0,3,3,1,99,99,539000.0
107.0,3,2,1,2,0,675000.0
148.0,0,3,2,4,0,1191040.0
257.0,3,3,1,3,0,1080000.0
115.0,4,0,0,18,3,297640.0
147.0,5,3,0,9,1,640900.0
100.0,4,2,0,22,3,450000.0
140.0,3,2,2,2,0,990000.0
400.0,4,6,2,4,0,2109300.0
236.0,3,4,3,4,0,1950000.0
180.0,3,2,2,1,0,1298280.0
57.0,1,0,1,4,0,500000.0
242.0,3,3,2,3,0,1975000.0
316.0,3,3,3,2,0,2208900.0
94.0,3,2,0,6,1,545200.0
175.0,3,0,2,5,0,749000.0
44.0,1,0,1,0,0,462500.0
100.0,3,2,1,13,2,593070.0
170.0,4,2,0,0,0,767000.0
265.0,4,3,2,2,0,1898800.0
78.0,3,2,1,9,1,423500.0
192.0,3,3,3,1,0,1552128.0
267.0,2,3,2,4,0,1432600.0
144.0,3,2,0,5,0,647500.0
225.0,3,4,1,3,0,1687500.0
71.0,2,2,1,3,0,676000.0
155.0,3,3,2,23,3,1368000.0
165.0,4,2,2,99,99,1083750.0
124.0,3,2,1,4,0,712500.0
85.0,0,2,0,9,1,468750.0
91.0,2,0,1,9,1,514500.0
90.0,3,2,1,9,1,621000.0
218.0,4,3,2,99,99,677000.0
172.0,3,2,1,2,0,924000.0
220.0,3,4,0,2,0,1227600.0
100.0,2,2,1,1,0,676800.0
170.0,3,2,2,1,0,1428800.0
163.0,3,3,1,3,0,1264800.0
155.0,2,3,2,1,0,1050000.0
160.0,3,2,2,2,0,1106000.0
87.0,3,2,1,9,1,426650.0
72.0,1,2,1,0,0,695600.0
168.0,3,2,2,2,0,982644.0
58.0,3,2,0,18,3,186200.0
80.0,2,2,1,3,0,506000.0
263.0,3,4,2,1,0,2006250.0
123.0,3,3,1,2,0,712250.0
90.0,3,3,1,24,4,654500.0
590.0,4,5,4,1,0,3700000.0
276.0,3,2,2,2,0,1579200.0
63.0,3,2,0,22,3,256000.0
17457.0,4,4,1,99,99,1050000.0
67.0,3,2,0,9,1,360000.0
145.0,3,0,0,17,2,336000.0
70.0,2,2,0,99,99,215000.0
103.0,3,2,1,9,1,484000.0
91.0,3,3,1,5,0,605000.0
120.0,3,2,0,6,1,617100.0
393.0,3,3,3,1,0,2495000.0
218.0,2,0,0,2,0,798000.0
156.0,2,0,0,2,0,893000.0
294.0,3,3,1,3,0,1683000.0
110.0,3,2,0,20,3,510600.0
182.0,1,2,4,4,0,2079000.0
220.0,3,3,1,1,0,1413720.0
85.0,2,2,1,3,0,823440.0
400.0,4,6,2,3,0,2109300.0
99.0,3,2,1,99,99,713000.0
87.0,2,2,1,9,1,490000.0
75.0,3,2,0,99,99,203500.0
192.0,3,3,3,1,0,1548000.0
127.0,2,2,1,4,0,832500.0
123.0,4,3,1,1,0,1480000.0
86.0,3,0,1,5,0,488400.0
112.0,3,3,1,2,0,456000.0
111.0,2,2,1,3,0,1242850.0
95.0,2,2,1,3,0,1015200.0
0.0,0,0,0,9,1,3.0
160.0,7,3,0,99,99,483619.0
75.0,3,2,1,7,1,507280.0
237.0,3,2,2,1,0,1535500.0
179.0,3,3,1,1,0,1041740.0
70.0,2,0,1,11,1,490000.0
130.0,4,3,0,25,4,555000.0
103.0,2,2,1,3,0,699300.0
80.0,2,0,0,20,3,1500.0
68.0,2,2,0,99,99,489783.0
76.0,3,2,0,9,1,440000.0
120.0,3,3,0,2,0,671000.0
180.0,3,3,1,1,0,815000.0
340.0,3,2,2,4,0,3196000.0
97.0,3,2,0,27,4,444000.0
89.0,0,2,1,1,0,736659.0
93.0,2,2,0,22,3,562500.0
147.0,3,3,2,2,0,835496.0
67.0,2,2,0,99,99,499913.0
134.0,3,2,1,2,0,858750.0
52.0,1,0,1,3,0,445000.0
127.0,2,2,2,3,0,806250.0
52.0,1,2,1,0,0,431000.0
89.0,3,2,1,1,0,788746.0
143.0,3,2,1,2,0,827200.0
58.0,2,0,0,99,99,185500.0
66.0,2,2,0,24,4,323000.0
85.0,3,2,1,1,0,630700.0
83.0,3,2,0,22,3,600000.0
65.0,2,0,0,22,3,266000.0
155.0,3,2,1,3,0,1616800.0
78.0,3,2,1,6,1,642000.0
178.0,3,4,1,3,0,1050000.0
130.0,2,0,2,4,0,890760.0
110.0,3,4,0,2,0,75137462.0
247.0,4,3,2,0,0,2067999.0
155.0,2,2,2,4,0,1306000.0
0.0,0,0,0,3,0,3.0
184.0,3,3,2,2,0,1008750.0
246.0,3,4,2,2,0,2238000.0
114.0,3,2,1,2,0,840000.0
83.0,3,2,0,9,1,466250.0
230.0,3,3,2,4,0,2401300.0
180.0,3,2,2,1,0,1054500.0
193.0,3,3,2,2,0,1244000.0
98.0,2,2,0,27,4,561020.0
187.0,3,3,1,4,0,1234200.0
60.0,2,2,0,27,4,374112.0
41.0,1,0,0,99,99,406640.0
78.0,3,2,0,6,1,409500.0
193.0,3,3,2,4,0,1597751.0
185.0,3,2,1,5,0,808500.0
59.0,2,2,0,99,99,571720.0
106.0,2,0,1,3,0,667500.0
220.0,3,3,2,99,99,1480000.0
89.0,3,2,0,2,0,645000.0
81.0,3,2,0,6,1,507600.0
196.0,3,3,2,1,0,1470300.0
122.0,3,2,1,24,4,735500.0
144.0,3,3,2,2,0,1031250.0
94.0,3,2,1,7,1,646000.0
76.0,3,2,1,99,99,395000.0
66.0,1,0,1,2,0,522671.0
57.0,2,2,0,4,0,510000.0
100.0,3,2,0,99,99,249240.0
60.0,2,0,0,2,0,333000.0
123.0,3,3,3,4,0,1336000.0
296.0,3,3,2,2,0,1190730.0
40.0,1,0,0,4,0,410400.0
100.0,2,2,0,99,99,245520.0
398.0,3,0,0,4,0,2901398.0
55.0,2,2,0,24,4,402000.0
286.0,2,2,3,4,0,2026515.0
136.0,3,2,1,3,0,1395000.0
165.0,2,3,1,1,0,5650.0
83.0,3,2,0,99,99,262000.0
310.0,3,4,2,3,0,2566800.0
77.0,3,2,1,8,1,409850.0
75.0,2,2,0,6,1,446400.0
83.0,2,0,1,9,1,354350.0
94.0,3,2,0,1,0,518000.0
88.0,2,2,1,3,0,814000.0
276.0,3,3,2,1,0,1688732.0
83.0,4,2,0,30,5,431250.0
100.0,3,2,0,99,99,277500.0
136.0,3,4,2,2,0,777000.0
99.0,3,0,1,2,0,471250.0
70.0,1,2,1,3,0,603750.0
78.0,3,2,1,99,99,409900.0
79.0,3,2,1,20,3,412000.0
83.0,3,2,1,3,0,550000.0
119.0,2,2,1,3,0,1335500.0
100.0,3,3,2,3,0,985800.0
60.0,2,0,0,6,1,358000.0
228.0,3,4,2,4,0,1958250.0
153.0,3,2,1,4,0,1258000.0
55.0,2,0,1,9,1,327990.0
200.0,2,2,2,4,0,2107450.0
202.0,5,4,2,2,0,851000.0
170.0,3,2,2,2,0,1200000.0
76.0,3,2,1,6,1,446000.0
78.0,3,3,0,0,0,506250.0
98.0,3,3,1,2,0,517000.0
130.0,2,2,2,2,0,1008000.0
57.0,2,2,1,7,1,384400.0
112.0,2,2,1,3,0,814906.0
70.0,2,2,1,3,0,814000.0
52.0,1,2,1,3,0,461250.0
72.0,3,2,0,3,0,671250.0
63.0,2,2,1,3,0,686250.0
137.0,2,2,0,99,99,561000.0
57.0,2,2,0,7,1,365000.0
82.0,2,2,1,2,0,594138.0
124.0,3,2,1,2,0,938207.0
74.0,2,2,1,3,0,612000.0
164.0,3,2,2,24,4,846930.0
44.0,1,0,1,22,3,573750.0
98.0,4,3,0,9,1,445200.0
68.0,3,2,0,24,4,501000.0
69.0,2,2,0,3,0,713935.0
102.0,3,2,1,3,0,1100000.0
76.0,2,2,0,3,0,839000.0
103.0,3,2,1,3,0,837000.0
136.0,3,2,2,4,0,1039500.0
100.0,3,2,0,9,1,462500.0
233.0,3,2,2,4,0,2083778.0
303.0,3,2,1,3,0,1639000.0
29.0,1,0,0,4,0,330000.0
131.0,3,2,1,4,0,1458750.0
220.0,3,4,2,1,0,1313500.0
60.0,1,0,0,3,0,709000.0
500.0,3,2,2,2,0,1470300.0
75.0,3,2,1,4,0,588120.0
96.0,3,2,0,99,99,343845.0
58.0,2,2,0,4,0,444600.0
169.0,2,2,0,99,99,688200.0
351.0,4,4,4,2,0,2231200.0
56.0,2,2,1,4,0,450000.0
101.0,3,3,1,3,0,981750.0
157.0,2,2,1,4,0,1526250.0
146.0,2,2,0,99,99,613800.0
56.0,1,0,1,3,0,492100.0
40.0,1,0,0,4,0,468750.0
70.0,3,0,0,30,5,432250.0
124.0,2,2,3,3,0,999658.0
60.0,2,2,1,3,0,528540.0
114.0,2,2,1,4,0,1076635.0
63.0,2,2,0,3,0,741000.0
112.0,3,2,2,4,0,960000.0
65.0,2,2,1,7,1,538000.0
36.0,1,0,0,22,3,495000.0
118.0,3,3,1,2,0,717960.0
137.0,2,2,0,99,99,541285.0
195.0,3,2,2,1,0,1665000.0
31.0,1,0,0,34,5,148799.0
150.0,3,4,2,11,1,841000.0
140.0,3,3,2,2,0,968000.0
242.0,4,2,2,1,0,1696500.0
128.0,3,3,1,2,0,695600.0
112.0,3,2,1,2,0,618750.0
42.0,1,0,0,11,1,299700.0
197.0,4,5,2,3,0,1547000.0
77.0,3,2,0,2,0,360000.0
186.0,3,2,2,1,0,1330000.0
75.0,2,0,1,3,0,858750.0
35.0,1,0,0,2,0,220000.0
80.0,3,0,0,1,0,437000.0
270.0,3,2,2,4,0,2736000.0
240.0,3,3,1,1,0,1312500.0
64.0,2,2,0,9,1,345800.0
145.0,3,2,1,0,0,1149375.0
79.0,2,2,1,3,0,611250.0
45.0,2,0,1,6,1,360000.0
54.0,2,2,0,0,0,561404.0
136.0,2,2,1,3,0,1428800.0
145.0,3,3,1,2,0,1250500.0
110.0,3,2,1,1,0,925000.0
79.0,3,2,1,4,0,593600.0
186.0,3,3,1,2,0,1490000.0
77.0,3,2,0,7,1,475000.0
162.0,3,2,2,2,0,1221000.0
594.0,3,3,2,2,0,1450000.0
105.0,3,3,0,24,4,593600.0
130.0,3,2,0,1,0,1115100.0
7751.0,3,2,1,11,1,680363.0
96.0,3,2,1,3,0,701250.0
42.0,1,0,0,0,0,444600.0
94.0,2,3,0,24,4,399000.0
170.0,5,3,0,24,4,799800.0
255.0,4,3,0,1,0,1772820.0
136.0,3,3,1,3,0,900000.0
121.0,3,3,1,99,99,780828.0
170.0,4,2,0,3,0,1106250.0
112.0,3,2,2,2,0,779100.0
244.0,4,3,2,3,0,3724000.0
121.0,2,2,2,3,0,1216000.0
110.0,3,2,0,9,1,416900.0
262.0,3,3,2,2,0,1887000.0
125.0,3,2,1,1,0,825000.0
125.0,3,2,1,1,0,581250.0
179.0,3,3,1,2,0,736560.0
52.0,1,0,1,3,0,408100.0
80.0,2,2,1,99,99,562500.0
162.0,3,3,2,0,0,1119000.0
110.0,3,3,1,1,0,700000.0
129.0,3,2,1,3,0,843750.0
134.0,2,0,2,2,0,660000.0
99.0,3,2,0,3,0,880000.0
46.0,1,0,0,4,0,472900.0
91.0,2,3,2,3,0,777332.0
46.0,1,0,1,0,0,553520.0
200.0,3,3,2,3,0,1106000.0
335.0,4,2,3,0,0,3344850.0
110.0,3,2,1,2,0,693750.0
153.0,3,3,0,11,1,680760.0
237.0,3,2,2,1,0,1560400.0
55.0,1,0,0,1,0,297000.0
90.0,2,0,0,3,0,686592.0
81.0,3,2,1,2,0,613500.0
94.0,3,3,0,99,99,510600.0
99.0,3,2,1,7,1,540000.0
85.0,2,2,1,3,0,766000.0
127.0,3,3,1,1,0,820600.0
197.0,4,4,2,2,0,1061000.0
226.0,3,3,1,1,0,1728375.0
140.0,3,2,0,4,0,671000.0
77.0,3,2,0,2,0,356250.0
136.0,1,0,2,3,0,1204600.0
152.0,3,3,1,3,0,933750.0
100.0,1,2,1,3,0,706515.0
217.0,3,3,1,2,0,974000.0
70.0,3,2,0,9,1,372000.0
150.0,3,4,3,4,0,1196250.0
129.0,4,2,1,1,0,669596.0
206.0,3,2,2,2,0,1283160.0
91.0,3,2,1,3,0,840000.0
84.0,3,2,1,3,0,798750.0
93.0,3,2,1,3,0,990000.0
92.0,3,2,0,3,0,731250.0
62.0,2,2,1,4,0,640000.0
93.0,2,2,0,3,0,906026.0
126.0,3,2,2,3,0,865000.0
230.0,3,4,3,4,0,3340560.0
81.0,3,2,0,99,99,431250.0
78.0,2,2,1,3,0,801360.0
82.0,3,2,0,9,1,356600.0
76.0,3,2,1,7,1,468750.0
151.0,3,3,2,3,0,1170000.0
87.0,2,2,2,2,0,780885.0
61.0,2,0,0,22,3,286520.0
61.0,1,0,0,7,1,337334.0
160.0,3,3,2,2,0,1106250.0
81.0,2,2,1,99,99,815190.0
57.0,2,2,0,3,0,543750.0
34.0,1,0,0,0,0,421680.0
170.0,3,2,0,99,99,370000.0
94.0,3,2,1,4,0,725200.0
66.0,3,2,1,2,0,333333.0
50.0,2,0,0,11,1,296500.0
468.0,3,3,4,4,0,2613200.0
65.0,3,2,0,27,4,234360.0
106.0,3,2,1,2,0,795000.0
163.0,3,2,0,2,0,852000.0
74.0,3,2,1,20,3,345000.0
207.0,3,3,2,2,0,1047000.0
160.0,3,2,2,2,0,956250.0
157.0,5,0,1,5,0,747000.0
183.0,3,3,2,2,0,1353600.0
66.0,2,2,0,9,1,338200.0
240.0,3,2,1,3,0,1883250.0
105.0,3,2,2,2,0,783300.0
190.0,4,2,1,99,99,475000.0
115.0,3,3,1,2,0,721000.0
50.0,1,0,1,8,1,412500.0
61.0,2,2,1,99,99,420000.0
157.0,3,5,2,23,3,712125.0
50.0,1,0,1,4,0,516872.0
119.0,3,4,2,2,0,758000.0
74.0,3,2,0,99,99,334000.0
164.0,3,2,1,3,0,1200000.0
195.0,3,3,1,2,0,1346000.0
66.0,2,2,0,2,0,311250.0
210.0,3,3,2,2,0,996400.0
40.0,1,0,0,11,1,265000.0
116.0,2,2,1,3,0,1222000.0
116.0,3,3,2,5,0,854170.0
100.0,3,2,1,2,0,900000.0
95.0,3,2,1,1,0,979875.0
67.0,1,0,0,3,0,442500.0
66.0,3,2,1,11,1,450000.0
152.0,3,2,1,0,0,1241600.0
268.0,3,3,2,2,0,1293750.0
85.0,2,2,1,4,0,596800.0
70.0,3,2,1,6,1,509000.0
100.0,3,2,1,11,1,608000.0
85.0,2,2,0,6,1,480000.0
70.0,3,2,0,99,99,255000.0
71.0,2,2,0,9,1,466500.0
65.0,3,2,0,99,99,449700.0
65.0,2,2,1,11,1,506000.0
95.0,3,2,1,3,0,813750.0
76.0,3,2,0,11,1,589000.0
106.0,3,2,2,3,0,788130.0
59.0,3,0,0,17,2,170000.0
90.0,3,2,1,3,0,907000.0
49.0,1,0,0,4,0,487900.0
80.0,2,0,0,11,1,445200.0
180.0,3,3,0,3,0,1636610.0
79.0,3,2,0,8,1,620000.0
55.0,2,0,0,14,2,240500.0
135.0,3,2,1,2,0,757000.0
128.0,3,2,1,2,0,540477.0
93.0,2,2,1,3,0,827820.0
100.0,2,2,1,3,0,660000.0
80.0,3,2,0,27,4,486291.0
256.0,3,3,2,2,0,1413030.0
110.0,2,3,2,4,0,869500.0
67.0,2,2,1,3,0,577500.0
73.0,3,2,1,0,0,475000.0
115.0,3,0,1,2,0,833842.0
140.0,3,3,1,5,0,555000.0
211.0,3,3,0,3,0,1643334.0
86.0,2,2,1,27,4,444000.0
118.0,3,2,0,3,0,1060000.0
80.0,3,2,1,4,0,757500.0
113.0,2,3,2,5,0,818400.0
74.0,1,2,0,3,0,577500.0
62.0,2,2,1,3,0,708750.0
116.0,3,2,1,5,0,517500.0
51.0,1,0,0,4,0,539900.0
104.0,3,2,1,3,0,2700.0
210.0,3,3,2,5,0,1496000.0
115.0,3,3,1,2,0,1022000.0
150.0,4,3,2,5,0,1309000.0
