Área Total log,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta log,Precio Cierre log,Codigo
4.07753744390572,1,1,0,28,8,12.652298946310198,12.649607163270348,1119363
4.085976312551584,5,2,0,30,8,13.324734263087267,13.324734263087267,1105076
4.110873864173311,4,3,1,20,8,13.798161937129661,13.798161937129661,1014056
4.110873864173311,3,2,1,21,8,12.721291604450823,12.718599820835916,1093897
4.110873864173311,2,2,1,12,5,12.571760352229566,12.569068569913172,1089374
4.118223836012044,4,2,0,30,8,13.514785122830995,13.44453527846298,1019110
4.174387269895637,5,4,0,28,8,13.87226983660481,13.87226983660481,1011435
4.187683102652602,6,3,0,12,5,12.805428242634456,12.751389547049236,1072283
4.189654742026425,2,1,0,26,8,12.600817159541924,12.53627886302172,1110814
4.204692619390966,3,2,0,7,4,12.664133366307853,12.400429816208447,1064110
4.25575454373095,6,1,0,23,3,12.775358668518512,12.718599820835916,1094825
4.258445572902527,2,1,1,20,8,12.98241371741132,12.98241371741132,1014193
4.2626798770413155,1,1,0,47,7,12.426175578847188,12.423483797995981,1077712
4.267036570040212,4,2,0,30,8,12.966413413168617,12.691583538230217,1049678
4.290459441148391,5,3,0,22,3,13.044403998094442,13.04710304923569,1060031
4.290459441148391,6,44,0,43,7,12.554970929480584,12.554970929480584,1014135
4.290459441148391,5,3,0,8,5,12.53897064502647,12.467286248240269,1073326
4.297285406218791,5,2,0,24,3,13.0089729301901,12.813909728376597,1108174
4.301358731606427,1,1,0,3,4,12.237866811561082,11.982685314504105,1070138
4.31748811353631,4,2,0,43,7,12.827296772953778,12.685410698175234,1072082
4.328230210068212,4,4,0,50,8,12.330160210257247,12.330160210257247,187030
4.330733340286331,3,2,1,3,4,12.100717685412471,12.100717685412471,1116374
4.330733340286331,1,3,0,14,5,12.511942070836259,12.509250289096192,1082939
4.343805421853684,3,2,0,3,4,12.032974422717922,12.032974422717922,1002658
4.347046915777855,2,1,1,3,4,12.128116509451258,11.684531481546326,1111445
4.347046915777855,3,3,0,3,4,12.02814741073532,12.025455635171172,1083157
4.347046915777855,3,3,1,3,4,12.173874814112354,12.083910661257521,1049779
4.356708826689592,2,1,1,3,4,12.055546223472613,12.074288297362955,1088644
4.3694478524670215,4,3,0,26,8,13.232116033476537,13.160431503507352,1056646
4.382026634673881,1,1,0,9,5,11.859072181105512,11.831270099228826,1099899
4.394449154672439,3,2,0,41,6,13.163123289997541,13.086323679453214,1084505
4.394449154672439,5,3,0,25,3,13.142756026681733,13.142756026681733,1029218
4.394449154672439,6,2,2,19,8,13.67555974775471,13.67555974775471,1015161
4.394449154672439,6,1,0,8,5,13.089015465545286,12.919269971770703,1054802
4.394449154672439,4,2,0,25,3,12.801830235809595,12.801830235809595,1024983
4.427477897577799,5,5,0,25,3,12.54682499510009,12.467286248240269,1090904
4.442062848117941,1,1,0,7,4,12.398554907086758,12.39317857228512,1083687
4.442651256490317,3,2,1,3,4,12.131946980912248,12.11061295454961,1116793
4.4487502667167895,4,2,0,5,4,12.737291898386962,12.737291898386962,1015744
4.460144413937834,6,3,0,8,5,13.011299964429499,12.946177359636454,1104180
4.479266769098936,10,5,0,21,8,13.232116033476537,13.124063930643688,1061666
4.499809670330265,3,2,1,38,6,12.89897229545694,12.89628051053144,1088617
4.51085950651685,2,2,2,35,6,12.38036623088686,12.236849152670022,1069044
4.51085950651685,3,2,2,21,8,13.819901901884347,13.721200977393528,1032373
4.51085950651685,3,3,1,8,5,12.816601512723391,12.698177116995032,1062370
4.51085950651685,9,3,0,8,5,12.770081626389343,12.770081626389343,1088320
4.51085950651685,5,3,0,8,5,12.250094315624496,12.089993781947333,1094372
4.51085950651685,4,3,1,20,8,13.232116033476537,13.229424246641315,1083177
4.51085950651685,6,4,0,38,6,12.606193498512562,12.606193498512562,1054102
4.51085950651685,5,3,1,8,5,12.729323752253295,12.729323752253295,1061463
4.51085950651685,5,2,1,8,5,12.565287860247306,12.562596077991621,1078942
4.51085950651685,2,1,0,33,6,12.380618214206898,12.339733404786474,1116700
4.51085950651685,6,4,1,7,4,12.506662305501424,12.506662305501424,1072648
4.51085950651685,5,3,0,22,3,13.083624628087817,13.086323679453214,1068778
4.51085950651685,8,3,1,12,5,13.122365377402328,13.122365377402328,1059636
4.51085950651685,5,1,0,48,7,11.910365121788654,11.931642378754141,1062949
4.51085950651685,2,1,0,25,3,12.62820147278466,12.588238419983934,1069244
4.51085950651685,6,2,0,3,4,12.02814741073532,12.02814741073532,1071611
4.51085950651685,3,3,1,24,3,13.512431897354281,13.439144437661334,1097712
4.51085950651685,5,2,1,3,4,12.603508942150482,12.53627886302172,1065235
4.5217885770490405,3,2,1,28,8,13.329379172803593,13.318655226971762,1096899
4.532599493153256,2,1,0,29,8,12.826651821423713,12.82396003700373,1080766
4.535284058523925,3,2,1,28,8,13.411550816223388,13.422217568136404,1086401
4.543294782270004,5,2,1,52,8,11.68722325056927,11.684531481546326,1045703
4.569128414640826,9,9,0,9,5,13.544490237708176,13.541798449576971,1070024
4.570061008874523,8,3,0,8,5,12.974445566165597,12.96372162780354,1099346
4.574710978503383,8,7,1,43,7,13.0089729301901,12.96372162780354,1071704
4.574710978503383,7,3,1,43,7,13.203576476825239,13.006281144562495,1054136
4.580877493419047,2,2,0,43,7,12.806449168966699,12.718599820835916,1072593
4.584967478670572,2,2,1,20,8,13.13745098487559,13.124063930643688,1106690
4.590564033598729,7,2,0,4,4,13.011657489555034,12.96372162780354,1119919
4.59511985013459,1,1,0,34,6,13.019668195475587,13.006281144562495,1090258
