Área Total log,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta log,Precio Cierre log,Codigo
3.3697067145707846,1,1,0,39,8,7.244941546337007,7.244941546337007,1111521
3.4339872044851463,1,1,0,8,6,6.68586094706836,6.68586094706836,1090056
3.4339872044851463,1,1,0,18,4,6.7464121285733745,6.7464121285733745,1110556
3.4339872044851463,1,1,0,14,8,7.3783837129967145,7.3783837129967145,1058343
3.4339872044851463,1,1,0,39,8,6.621405651764134,6.621405651764134,1105290
3.4339872044851463,2,1,0,39,8,7.0909098220799835,7.0909098220799835,1105562
3.4339872044851463,1,1,0,21,8,7.244941546337007,7.244941546337007,1032582
3.4339872044851463,1,1,0,21,8,7.244941546337007,7.244941546337007,1103906
3.4339872044851463,1,1,0,21,8,7.170888478512505,7.170888478512505,1122827
3.4339872044851463,1,1,0,17,8,7.208600337960199,7.208600337960199,1091171
3.4339872044851463,1,1,0,36,8,6.85751406254539,6.85751406254539,1083315
3.4339872044851463,1,1,0,15,8,7.0909098220799835,7.0909098220799835,1103309
3.4339872044851463,1,1,1,30,8,7.3783837129967145,7.3783837129967145,1023265
3.4339872044851463,2,1,0,36,8,6.7464121285733745,6.7464121285733745,1091273
3.4339872044851463,1,1,0,30,8,7.3783837129967145,7.3783837129967145,1122610
3.4339872044851463,1,1,0,8,6,6.68586094706836,6.68586094706836,1090168
3.4339872044851463,1,1,0,21,8,7.208600337960199,7.208600337960199,1032584
3.4339872044851463,1,1,0,17,8,7.1316985104669115,7.1316985104669115,1091125
3.4657359027997265,1,1,0,20,8,7.365812837209472,7.365812837209472,1098543
3.4657359027997265,1,1,1,20,8,7.601402334583733,7.601402334583733,1002798
3.4898185733156835,1,1,0,20,8,7.346655163176539,7.346655163176539,1042716
3.4965075614664802,1,1,0,2,5,6.68586094706836,6.68586094706836,1108400
3.4965075614664802,1,1,0,39,8,7.0909098220799835,7.0909098220799835,1013963
3.4965075614664802,1,1,0,24,8,7.313886831633462,7.313886831633462,1078400
3.4965075614664802,1,1,1,20,8,7.438971592395862,7.438971592395862,1104182
3.5263605246161616,1,1,1,24,8,7.467942332285852,7.467942332285852,1027303
3.5263605246161616,1,1,0,36,8,7.601402334583733,7.601402334583733,1066464
3.5263605246161616,1,1,0,34,3,7.0909098220799835,7.0909098220799835,1025720
3.5263605246161616,1,1,0,14,8,7.438971592395862,7.438971592395862,1118267
3.5263605246161616,1,1,1,24,8,7.438971592395862,7.438971592395862,1070421
3.5263605246161616,1,1,1,24,8,7.409136443920128,7.409136443920128,1004585
3.5263605246161616,1,1,0,40,8,7.496097345175956,7.496097345175956,1004453
3.5325179989895132,1,1,0,40,8,7.317876198626496,7.317876198626496,1095225
3.5487549460197703,1,1,0,16,3,7.3783837129967145,7.3783837129967145,1107333
3.5650154668915506,1,1,0,14,8,7.496097345175956,7.496097345175956,1094231
3.58351893845611,1,1,0,31,8,7.208600337960199,7.208600337960199,1063226
3.58351893845611,1,1,0,39,8,7.208600337960199,7.208600337960199,1094315
3.58351893845611,1,1,0,20,8,6.775366090936392,6.775366090936392,1093434
3.58351893845611,1,1,0,6,3,7.438971592395862,7.438971592395862,1041671
3.58351893845611,1,1,0,30,8,7.3783837129967145,7.3783837129967145,1092978
3.58351893845611,1,2,0,16,3,7.438971592395862,7.438971592395862,1057755
3.58351893845611,1,1,0,8,6,6.68586094706836,6.68586094706836,1122292
3.58351893845611,1,1,0,8,6,6.803505257608338,6.803505257608338,1100800
3.58351893845611,1,1,0,15,8,6.90875477931522,6.90875477931522,1057960
3.58351893845611,1,1,0,8,6,6.90875477931522,6.90875477931522,1088082
3.58351893845611,1,1,0,6,3,7.467942332285852,7.467942332285852,1075079
3.58351893845611,1,1,0,3,8,7.624130585661289,7.624130585661289,1070599
3.58351893845611,1,1,0,6,3,7.438971592395862,7.438971592395862,1080997
3.58351893845611,1,1,0,31,8,7.313886831633462,7.313886831633462,1115358
3.58351893845611,1,1,0,14,8,7.438971592395862,7.438971592395862,1070942
3.58351893845611,1,1,1,21,8,7.771910256435763,7.771910256435763,1110346
3.58351893845611,1,1,0,39,8,6.68586094706836,6.68586094706836,1105177
3.58351893845611,1,1,0,6,3,7.409136443920128,7.409136443920128,1025870
3.58351893845611,2,1,0,3,8,7.244941546337007,7.244941546337007,1075336
3.58351893845611,1,1,0,6,3,7.438971592395862,7.438971592395862,1049602
3.6109179126442243,1,1,0,36,8,7.313886831633462,7.313886831633462,1091795
3.6109179126442243,1,1,0,40,8,7.0909098220799835,7.0909098220799835,1108167
3.6336309798834576,1,1,0,6,3,7.313886831633462,7.313886831633462,1094514
3.6375861597263857,1,1,0,40,8,7.0909098220799835,7.0909098220799835,1115672
3.6375861597263857,1,1,1,39,8,7.244941546337007,7.244941546337007,1053260
3.6375861597263857,1,1,0,36,8,7.415175109613295,7.415175109613295,1106254
3.6375861597263857,1,1,1,6,3,7.601402334583733,7.601402334583733,1037537
3.6509179478268177,1,1,0,39,8,6.803505257608338,6.803505257608338,1113571
3.653770277000368,1,1,0,46,7,7.1316985104669115,7.1316985104669115,1101510
3.6635616461296463,1,1,0,6,3,7.523481312573497,7.523481312573497,1127035
3.6635616461296463,1,1,0,40,8,7.576097340623111,7.576097340623111,1095066
3.6635616461296463,1,1,0,40,8,7.3783837129967145,7.3783837129967145,1082773
3.6635616461296463,1,1,0,8,6,7.313886831633462,7.313886831633462,1087767
3.6635616461296463,1,1,0,8,6,7.244941546337007,7.244941546337007,1090216
