Área Total log,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta log,Precio Cierre log,Codigo
3.713572066704308,1,1,1,17,8,7.601402334583733,7.601402334583733,1081173
3.713572066704308,3,1,0,32,6,6.68586094706836,6.68586094706836,1046808
3.713572066704308,5,2,0,20,8,8.006700845440367,8.006700845440367,1108494
3.713572066704308,2,3,0,34,6,7.496097345175956,7.496097345175956,1091800
3.7369550773454994,3,2,0,3,4,6.55250788703459,6.55250788703459,1104854
3.7612001156935624,6,4,0,30,8,7.865187954187467,7.865187954187467,1102958
3.8918202981106265,3,2,0,8,5,7.824445930877619,7.824445930877619,1101278
3.9560398908449206,2,1,0,25,3,7.00397413672268,7.00397413672268,1089967
3.970291913552122,4,3,1,20,8,8.24301946898925,8.24301946898925,1118780
3.970291913552122,6,4,1,8,5,7.783640596221253,7.783640596221253,1102657
4.02535169073515,2,1,0,8,5,6.85751406254539,6.85751406254539,1084879
4.110873864173311,2,2,1,15,5,6.90875477931522,6.90875477931522,1002248
4.110873864173311,3,3,0,17,8,8.444837529224097,8.444837529224097,1042378
4.110873864173311,3,4,0,17,8,8.298041661371565,8.298041661371565,1104348
4.122121843221548,3,2,1,20,8,8.393216011596527,8.393216011596527,1127844
4.1588830833596715,2,1,0,29,8,8.03947991910045,8.03947991910045,1076840
4.204692619390966,3,2,0,4,4,6.621405651764134,6.621405651764134,1097672
4.2626798770413155,3,3,0,17,8,7.972810784121404,7.972810784121404,1008042
4.2626798770413155,3,1,0,24,3,7.696667081526462,7.696667081526462,1010533
4.2626798770413155,3,2,0,27,8,8.286521373681236,8.286521373681236,1008873
4.276666119016055,6,4,0,32,6,7.496097345175956,7.496097345175956,1114153
4.28496492183075,3,2,0,30,8,7.438971592395862,7.438971592395862,1083182
4.290459441148391,6,2,0,29,8,8.343077871169383,8.343077871169383,1048766
4.321480134805848,3,2,1,43,7,7.280008252884188,7.280008252884188,1123454
4.330733340286331,8,5,1,3,4,7.741099090035366,7.741099090035366,1106934
4.347046915777855,3,2,1,3,4,6.7464121285733745,6.7464121285733745,1078458
4.3694478524670215,7,7,2,26,8,9.210440366976517,9.210440366976517,1058965
4.373364224095228,5,1,0,17,8,8.552753366814787,8.552753366814787,1114140
4.382026634673881,2,2,1,17,8,7.865187954187467,7.865187954187467,1066851
4.394449154672439,3,2,1,3,4,6.698268054115413,6.698268054115413,1083215
4.394449154672439,6,4,0,7,4,7.696667081526462,7.696667081526462,1111837
4.394449154672439,3,1,0,25,3,7.313886831633462,7.313886831633462,1086492
4.442651256490317,5,3,0,27,8,8.401333305321703,8.401333305321703,1102884
4.454347296253507,3,3,0,34,6,8.160803920954665,8.160803920954665,1094822
4.454347296253507,3,4,185,5,4,8.160803920954665,8.160803920954665,1067128
4.49647076906475,3,3,1,21,8,7.934155233536322,7.934155233536322,1059895
4.503912353913864,4,3,2,46,8,8.643120748014027,8.643120748014027,1022879
4.51085950651685,5,3,2,16,8,8.473241303887054,8.473241303887054,1124851
4.51085950651685,3,2,0,8,5,7.438971592395862,7.438971592395862,1106161
4.51085950651685,3,2,2,27,8,8.294299608857235,8.294299608857235,1034743
4.51393170555382,3,2,1,17,8,8.489410810403786,8.489410810403786,1094809
4.553876891600541,4,2,1,17,8,8.4040244933106,8.4040244933106,1096015
4.553876891600541,2,1,1,3,4,6.68586094706836,6.68586094706836,1039539
4.55597994179732,4,2,1,5,4,7.496097345175956,7.496097345175956,1101625
4.564348191467836,3,2,0,38,6,7.313886831633462,7.313886831633462,1030088
4.574710978503383,2,1,1,3,4,6.68586094706836,6.68586094706836,1129355
4.57491714281707,6,4,0,17,8,8.39049553837028,8.39049553837028,1120390
4.591071261608589,2,1,0,3,4,6.7464121285733745,6.7464121285733745,1068802
4.591071261608589,3,3,1,3,4,6.68586094706836,6.68586094706836,1084830
4.61512051684126,2,1,1,20,8,7.824445930877619,7.824445930877619,1107329
4.61512051684126,2,1,1,20,8,7.696667081526462,7.696667081526462,1032278
4.61512051684126,4,3,2,16,8,8.594709633844065,8.594709633844065,1108081
4.61512051684126,4,2,2,27,8,8.294299608857235,8.294299608857235,1115279
4.61512051684126,5,2,0,22,3,8.04012466444838,8.04012466444838,1129981
4.61512051684126,2,1,1,20,8,7.824445930877619,7.824445930877619,1094773
4.61512051684126,4,1,1,4,4,7.170888478512505,7.170888478512505,1126581
4.61512051684126,3,3,1,17,8,8.517393171418904,8.517393171418904,1028628
4.61512051684126,6,3,1,3,4,7.0909098220799835,7.0909098220799835,1088930
4.620058798481842,2,2,1,32,6,7.62608275807238,7.62608275807238,1092718
4.624972813284271,8,4,0,29,8,8.612685172875459,8.612685172875459,1044532
4.634728988229636,4,4,2,46,8,8.116417072794205,8.116417072794205,1086853
4.634728988229636,4,2,1,27,8,8.294299608857235,8.294299608857235,1064924
4.634728988229636,4,4,2,46,8,8.80941494391005,8.80941494391005,1080966
4.6913478822291435,2,1,0,11,3,7.696667081526462,7.696667081526462,1108416
4.709530201312334,4,3,1,46,8,8.53915035876828,8.53915035876828,1120388
4.709530201312334,4,3,1,46,8,8.385032287813898,8.385032287813898,1125995
4.709530201312334,5,2,2,12,5,8.202756381655638,8.202756381655638,1110038
4.709530201312334,4,2,2,33,6,7.601402334583733,7.601402334583733,1071889
4.718498871295094,3,3,1,31,8,8.612685172875459,8.612685172875459,1084312
4.730656806029507,2,1,1,20,8,7.650168700845001,7.650168700845001,1067656
4.74493212836325,4,3,1,21,8,8.071218539969863,8.071218539969863,1123049
4.770006428441026,3,2,0,29,8,7.865187954187467,7.865187954187467,1046532
4.787491742782046,3,2,2,3,4,7.0909098220799835,7.0909098220799835,1079900
4.795790545596741,4,3,2,46,8,8.790421306897867,8.790421306897867,1122188
4.795790545596741,4,2,1,34,6,8.160803920954665,8.160803920954665,1056705
4.795790545596741,4,3,2,46,8,8.627123250788433,8.627123250788433,1083036
4.795790545596741,4,2,1,4,4,7.719129840906732,7.719129840906732,1048090
4.795790545596741,4,3,2,46,8,9.333972932421458,9.333972932421458,1083677
4.795790545596741,4,3,2,46,8,8.733271845008325,8.733271845008325,1115112
4.795790545596741,4,4,2,46,8,8.790421306897867,8.790421306897867,1110785
4.795790545596741,4,3,2,46,8,8.790421306897867,8.790421306897867,1118728
4.795790545596741,4,4,2,46,8,7.094234845924755,7.094234845924755,1118892
4.795790545596741,4,3,2,46,8,8.80941494391005,8.80941494391005,1074941
4.795790545596741,4,3,0,46,8,8.790421306897867,8.790421306897867,1121902
4.795790545596741,1,1,0,8,5,7.824445930877619,7.824445930877619,1118903
4.795790545596741,3,3,0,5,4,7.601402334583733,7.601402334583733,1083107
4.795790545596741,4,3,2,46,8,8.627123250788433,8.627123250788433,1074344
4.795790545596741,4,3,2,46,8,8.80941494391005,8.80941494391005,1065149
4.795790545596741,3,2,0,7,4,7.741099090035366,7.741099090035366,1091645
4.795790545596741,4,3,2,46,8,8.790421306897867,8.790421306897867,1115118
4.795790545596741,4,3,2,46,8,8.895766604056085,8.895766604056085,1070143
4.795790545596741,4,3,2,46,8,8.627123250788433,8.627123250788433,1074400
4.795790545596741,4,3,2,46,8,8.60813018640834,8.60813018640834,1116002
4.795790545596741,4,3,2,46,8,8.790421306897867,8.790421306897867,1098869
4.795790545596741,2,1,0,33,6,7.0909098220799835,7.0909098220799835,1069781
4.795790545596741,4,3,1,34,6,8.707648248106914,8.707648248106914,1008956
4.795790545596741,1,1,0,27,8,9.137877200242468,9.137877200242468,1095131
4.795790545596741,3,3,0,17,8,9.494240301132503,9.494240301132503,1130133
4.795790545596741,8,4,1,15,5,6.68586094706836,6.68586094706836,1110587
4.820281565605037,4,3,2,46,8,8.790421306897867,8.790421306897867,1027951
4.820281565605037,4,3,2,46,8,8.790421306897867,8.790421306897867,1122189
4.844187086458591,3,3,1,20,8,8.406708458240965,8.406708458240965,1119151
4.859812404361672,5,5,2,46,8,9.653935855445614,9.653935855445614,1112754
4.859812404361672,7,4,1,32,6,6.3818160174060985,6.3818160174060985,1088666
4.875197323201151,5,2,4,34,6,8.425735580927402,8.425735580927402,1116997
4.875197323201151,3,2,0,28,8,8.006700845440367,8.006700845440367,1109945
4.890349128221754,4,2,1,38,6,8.160803920954665,8.160803920954665,1122793
4.897839799950911,5,3,2,24,3,8.497194544909547,8.497194544909547,1120430
4.912654885736052,7,4,1,8,5,7.8636512654486515,7.8636512654486515,1093684
4.919980925828125,3,3,0,29,8,8.686260632531775,8.686260632531775,1100943
4.937706114073498,10,9,0,17,8,9.320180837655714,9.320180837655714,1062767
