Área Total log,Dormitorios,Baños,Estacionamiento,Zona_num,Municipio_num,Precio Venta log,Precio Cierre log,Codigo
2.833213344056216,1,0,0,17,8,7.313886831633462,7.313886831633462,1016798
2.850128299695199,1,0,0,31,8,7.467942332285852,7.3783837129967145,1073264
2.9512577834521614,1,0,0,17,8,7.601402334583733,7.601402334583733,1081421
3.044522437723423,1,0,0,22,3,7.741099090035366,7.741099090035366,1032787
3.0666566118906897,1,0,0,29,8,7.0909098220799835,7.0909098220799835,1063927
3.0791538816930633,1,0,0,29,8,7.0909098220799835,7.0909098220799835,1109927
3.091042453358316,1,1,0,29,8,7.0909098220799835,7.0909098220799835,1057217
3.1780538303479458,1,1,0,16,8,7.528869256642251,7.526178913346146,1089243
3.258096538021482,1,1,0,34,6,7.496097345175956,7.438971592395862,1083709
3.3527071725017215,2,0,0,28,8,7.496097345175956,7.438971592395862,1090703
3.354455119110024,1,1,0,17,8,8.4040244933106,8.24301946898925,1086586
3.4339872044851463,1,0,0,38,6,7.170888478512505,7.170888478512505,1040317
3.4339872044851463,1,1,0,33,6,6.398594934535208,6.398594934535208,1107021
3.4339872044851463,1,1,0,8,5,7.824445930877619,7.601402334583733,1079618
3.4965075614664802,1,1,0,34,6,8.04012466444838,7.99598047476376,1104501
3.4965075614664802,1,0,0,20,8,7.824445930877619,7.824445930877619,1025463
3.5263605246161616,1,1,0,28,8,8.9445502459405,8.960852845322371,1103797
3.5263605246161616,1,1,0,20,8,7.741099090035366,7.741099090035366,1094564
3.5553480614894135,2,1,0,19,8,7.901377353792616,7.741099090035366,1075568
3.5553480614894135,1,1,0,28,8,8.922791623969637,8.912069097970134,1102372
3.5553480614894135,1,0,0,20,8,7.824445930877619,7.824445930877619,1054357
3.58351893845611,1,0,1,30,8,7.438971592395862,7.438971592395862,1077710
3.58351893845611,1,0,0,8,5,7.170888478512505,7.170888478512505,1127493
3.6635616461296463,1,1,0,28,8,9.148571345578551,9.105090961257085,1118219
3.6888794541139363,1,0,0,20,8,8.757626411267408,8.74957394808293,1101205
3.713572066704308,1,1,0,21,8,7.124478262493424,7.1407699500916095,1127626
3.713572066704308,2,1,0,26,8,7.43955930913332,7.43955930913332,1001802
3.713572066704308,1,0,0,20,8,8.24301946898925,8.188966863648876,1112014
3.713572066704308,2,1,0,12,5,7.00397413672268,7.00397413672268,1111942
3.713572066704308,1,0,1,33,6,8.071218539969863,7.601402334583733,1074970
3.713572066704308,1,0,0,34,6,7.438971592395862,7.438971592395862,1052037
3.7839623353606284,1,1,0,23,3,7.244941546337007,7.244941546337007,1098894
3.828641396489095,1,1,0,22,3,6.68586094706836,6.68586094706836,1097272
3.828641396489095,1,1,0,20,8,8.627123250788433,8.624431942085836,1094999
3.8918202981106265,1,1,0,30,8,7.824445930877619,7.824445930877619,1003942
3.9318256327243257,2,0,0,12,5,7.170888478512505,7.170888478512505,1106394
3.9318256327243257,3,1,0,30,8,7.741099090035366,7.741099090035366,1056326
3.9318256327243257,1,2,1,27,8,7.824445930877619,7.601402334583733,1091175
3.9318256327243257,3,1,0,27,8,7.509883061154913,7.574943420371986,1096201
3.9318256327243257,1,0,0,7,4,8.071218539969863,8.071218539969863,1096268
3.9318256327243257,1,0,0,28,8,7.901377353792616,7.824445930877619,1087480
3.9512437185814275,1,1,0,5,4,7.170888478512505,7.170888478512505,1021181
3.959097412814075,1,1,0,29,8,7.496097345175956,7.496097345175956,1109218
3.970291913552122,1,1,0,11,3,7.824445930877619,7.824445930877619,1065307
4.02535169073515,2,1,0,30,8,7.998671361015776,7.993282328101591,1086780
4.0347714706871995,1,1,0,29,8,8.188966863648876,8.071218539969863,1073373
4.07753744390572,1,1,0,20,8,7.901377353792616,7.901377353792616,1082926
4.110873864173311,3,2,0,28,8,7.601402334583733,7.601402334583733,1094750
4.110873864173311,3,1,0,19,8,7.43955930913332,7.43955930913332,1006476
4.110873864173311,2,0,0,33,6,6.90875477931522,6.90875477931522,1110507
4.110873864173311,2,1,0,8,5,7.550135342488429,7.550135342488429,1106888
4.113656873254474,2,1,0,24,3,7.601402334583733,7.496097345175956,1076198
